YEAR,TOTAL_SCHEDULE_ROWS,BOOSTER_ROUND_ROWS,BOOSTER_ROW_SHARE_PCT
2019.0,90,56,62.22222222222222
2021.0,22,12,54.54545454545454
2022.0,67,21,31.343283582089555
2023.0,7873,4114,52.25454083576781
