YEAR,DTPCV1,DTPCV3,DROPOFF_PP
1980,66.07692307692308,47.46601941747573,19.0873786407767
1981,66.65853658536585,47.854838709677416,18.4390243902439
1982,68.25581395348837,50.41085271317829,17.844961240310077
1983,69.73239436619718,52.063380281690144,17.669014084507044
1984,71.6,54.20666666666666,17.393333333333334
1985,74.46794871794872,57.42307692307692,17.044871794871796
1986,78.76100628930817,63.16352201257862,15.59748427672956
1987,81.43478260869566,66.70186335403727,14.732919254658386
1988,84.52760736196319,70.55828220858896,13.969325153374234
1989,87.48466257668711,74.68711656441718,12.797546012269938
1990,89.7560975609756,78.6829268292683,11.073170731707316
1991,88.67272727272727,76.82424242424243,11.848484848484848
1992,88.96174863387978,77.4153005464481,11.546448087431694
1993,89.05851063829788,77.59042553191489,11.46808510638298
1994,89.47089947089947,79.11111111111111,10.359788359788359
1995,90.34391534391534,80.76190476190476,9.582010582010582
1996,90.12698412698413,80.57671957671958,9.55026455026455
1997,90.23157894736842,80.52105263157895,9.710526315789474
1998,90.11578947368422,81.19473684210526,8.921052631578947
1999,89.515625,80.85416666666667,8.661458333333334
2000,89.703125,81.89583333333333,7.807291666666667
2001,89.94270833333333,82.890625,7.052083333333333
2002,90.24352331606218,83.31088082901555,6.932642487046632
2003,90.61139896373057,84.1761658031088,6.435233160621761
2004,90.90155440414507,85.05181347150258,5.849740932642487
2005,91.87046632124353,86.47150259067358,5.398963730569948
2006,92.10309278350516,86.81443298969072,5.288659793814433
2007,92.48453608247422,87.86082474226804,4.623711340206185
2008,92.70618556701031,88.15463917525773,4.551546391752577
2009,93.16494845360825,88.5979381443299,4.56701030927835
2010,93.23711340206185,88.77319587628865,4.463917525773196
2011,93.37948717948719,89.12820512820512,4.251282051282051
2012,93.53333333333333,89.41025641025641,4.123076923076923
2013,92.95897435897436,88.92820512820512,4.030769230769231
2014,92.91794871794872,88.36410256410257,4.553846153846154
2015,92.81025641025641,88.2051282051282,4.605128205128205
2016,92.77435897435898,88.41025641025641,4.364102564102564
2017,92.67179487179487,88.0923076923077,4.579487179487179
2018,92.73333333333333,88.36923076923077,4.364102564102564
2019,92.77435897435898,88.62051282051281,4.153846153846154
2020,91.04102564102564,86.17948717948718,4.861538461538461
2021,90.01538461538462,85.1025641025641,4.912820512820513
2022,90.9076923076923,85.6923076923077,5.2153846153846155
2023,90.94871794871794,85.88205128205128,5.066666666666666
